32.478	0
48.221	1
50.399	2
51.268	3
52.037	4
52.799	5
53.565	6
54.454	7
55.599	8
57.315	9
59.35	10
61.388	11
63.869	12
67.597	13
73.582	14
80.803	15
86.134	16
87.798	17
88.694	18
89.379	19
89.925	20
90.395	21
90.812	22
91.201	23
91.593	24
92.019	25
92.464	26
92.89	27
93.276	28
93.635	29
93.982	30
94.316	31
94.633	32
94.924	33
95.186	34
95.423	35
95.638	36
95.839	37
96.034	38
96.221	39
96.403	40
96.584	41
96.768	42
96.959	43
97.156	44
97.367	45
97.588	46
97.822	47
98.057	48
98.299	49
98.546	50
98.802	51
99.069	52
99.353	53
99.657	54
99.999	55
100.379	56
100.811	57
101.286	58
101.823	59
102.43	60
103.087	61
103.75	62
104.401	63
105.068	64
105.796	65
106.636	66
107.602	67
108.77	68
110.295	69
112.306	70
114.82	71
117.724	72
120.743	73
123.522	74
125.874	75
128.052	76
130.187	77
132.401	78
134.666	79
137.119	80
140.117	81
143.856	82
148.015	83
151.589	84
154.929	85
157.619	86
160.576	87
163.575	88
166.248	89
168.859	90
171.469	91
175.118	92
179.486	93
184.365	94
190.172	95
197.8	96
208.626	97
221.384	98
249.817	99
